matrix size,elapsed time harness, elapsed time function, start harness, start function, end harness, end function
5,0.4606359004974365,6.246566772460938e-05,1585626219.6894596,1585626220.146419,1585626220.1500955,1585626220.1464815
5,0.14145994186401367,6.389617919921875e-05,1585626220.1904354,1585626220.3280578,1585626220.3318954,1585626220.3281217
5,0.18516325950622559,6.29425048828125e-05,1585626220.3523285,1585626220.5338159,1585626220.5374918,1585626220.5338788
10,0.14006471633911133,0.000720977783203125,1585626220.5901158,1585626220.725385,1585626220.7301805,1585626220.726106
10,0.15844368934631348,0.0007147789001464844,1585626220.770832,1585626220.9234405,1585626220.9292758,1585626220.9241552
10,0.14342999458312988,0.0007009506225585938,1585626220.9897187,1585626221.1284995,1585626221.1331487,1585626221.1292005
20,0.17215228080749512,0.01041102409362793,1585626221.1900535,1585626221.3472795,1585626221.3622057,1585626221.3576906
20,0.23699593544006348,0.010025262832641602,1585626221.3713565,1585626221.5937142,1585626221.6083524,1585626221.6037395
20,0.17202425003051758,0.010322093963623047,1585626221.670106,1585626221.827719,1585626221.8421302,1585626221.838041
50,0.6012191772460938,0.399808406829834,1585626221.9312932,1585626222.1242313,1585626222.5325124,1585626222.5240397
50,0.5774240493774414,0.3762342929840088,1585626222.630902,1585626222.8240838,1585626223.208326,1585626223.200318
50,0.601503849029541,0.41722536087036133,1585626223.310356,1585626223.4865224,1585626223.9118598,1585626223.9037478
60,1.0403997898101807,0.7865204811096191,1585626224.0321372,1585626224.2761471,1585626225.072537,1585626225.0626676
60,0.9792318344116211,0.7856297492980957,1585626225.2301712,1585626225.413519,1585626226.209403,1585626226.1991487
60,1.0254476070404053,0.7947673797607422,1585626226.3321629,1585626226.5522895,1585626227.3576105,1585626227.3470569
70,1.6674556732177734,1.4648234844207764,1585626227.5499196,1585626227.7392604,1585626229.2173753,1585626229.204084
70,1.689831018447876,1.4677255153656006,1585626229.4102862,1585626229.619988,1585626231.1001172,1585626231.0877135
70,1.6597535610198975,1.4560790061950684,1585626231.2906737,1585626231.4806116,1585626232.9504273,1585626232.9366906
80,2.7497384548187256,2.492050886154175,1585626233.172504,1585626233.4097536,1585626235.9222424,1585626235.9018044
80,2.7470595836639404,2.4924886226654053,1585626236.1518807,1585626236.3922443,1585626238.8989403,1585626238.884733
80,2.734581708908081,2.4659972190856934,1585626239.112732,1585626239.3514776,1585626241.8473136,1585626241.8174748
90,4.234522342681885,3.9689769744873047,1585626242.1507323,1585626242.399091,1585626246.3852546,1585626246.368068
90,4.2570648193359375,3.9828970432281494,1585626246.6716619,1585626246.9276106,1585626250.9287267,1585626250.9105077
90,4.203554153442383,3.958944320678711,1585626251.2104378,1585626251.4370887,1585626255.413992,1585626255.396033
100,6.33945894241333,6.057366847991943,1585626255.751404,1585626256.0124962,1585626262.090863,1585626262.069863
100,6.337995529174805,6.053453207015991,1585626262.4128275,1585626262.677019,1585626268.750823,1585626268.730472
100,6.263678073883057,6.014819145202637,1585626269.129146,1585626269.3591452,1585626275.3928242,1585626275.3739643
