matrix size,elapsed time harness, elapsed time function, start harness, start function, end harness, end function
5,0.10824775695800781,7.176399230957031e-05,1585631377.3172197,1585631377.4192364,1585631377.4254675,1585631377.4193082
5,0.036043643951416016,7.271766662597656e-05,1585631377.4258535,1585631377.4554522,1585631377.4618971,1585631377.455525
5,0.06250905990600586,6.985664367675781e-05,1585631377.4622548,1585631377.5179396,1585631377.5247638,1585631377.5180094
10,0.036785125732421875,0.0007500648498535156,1585631377.5249476,1585631377.5520923,1585631377.5617328,1585631377.5528424
10,0.033562660217285156,0.0009059906005859375,1585631377.5623147,1585631377.5882046,1585631377.5958774,1585631377.5891106
10,0.04268670082092285,0.0007646083831787109,1585631377.5960956,1585631377.6310413,1585631377.6387823,1585631377.631806
20,0.06535530090332031,0.011557579040527344,1585631377.6391606,1585631377.6845407,1585631377.704516,1585631377.6960983
20,0.04468989372253418,0.011039495468139648,1585631377.705256,1585631377.7315736,1585631377.7499459,1585631377.742613
20,0.048369407653808594,0.011057615280151367,1585631377.7504225,1585631377.779847,1585631377.798792,1585631377.7909045
50,0.46892428398132324,0.418942928314209,1585631377.8005052,1585631377.8384635,1585631378.2694294,1585631378.2574065
50,0.4933955669403076,0.4156816005706787,1585631378.2721238,1585631378.3090525,1585631378.7655194,1585631378.724734
50,0.46700072288513184,0.4074976444244385,1585631378.7680578,1585631378.8149652,1585631379.2350585,1585631379.222463
60,0.8905668258666992,0.8344404697418213,1585631379.2381413,1585631379.2801056,1585631380.1287081,1585631380.114546
60,0.9351422786712646,0.8526058197021484,1585631380.1346488,1585631380.1791859,1585631381.069791,1585631381.0317917
60,0.9856903553009033,0.8470494747161865,1585631381.076777,1585631381.1826317,1585631382.0624673,1585631382.0296812
70,1.6445653438568115,1.5740017890930176,1585631382.0671117,1585631382.1203027,1585631383.711677,1585631383.6943045
70,1.6558256149291992,1.576725959777832,1585631383.7164485,1585631383.7753046,1585631385.3722742,1585631385.3520305
70,1.6855275630950928,1.5424818992614746,1585631385.3771732,1585631385.4323604,1585631387.0627007,1585631386.9748423
80,2.7919273376464844,2.704075336456299,1585631387.068115,1585631387.1374555,1585631389.8600423,1585631389.8415308
80,2.7981531620025635,2.7164580821990967,1585631389.8660753,1585631389.9274988,1585631392.6642284,1585631392.643957
80,2.786567449569702,2.7116308212280273,1585631392.6731102,1585631392.7300653,1585631395.4596777,1585631395.4416962
90,4.39864706993103,4.283787965774536,1585631395.466862,1585631395.545464,1585631399.865509,1585631399.829252
90,4.48334527015686,4.383763790130615,1585631399.8751173,1585631399.9509199,1585631404.3584626,1585631404.3346837
90,4.4306066036224365,4.320521116256714,1585631404.366287,1585631404.4514012,1585631408.7968936,1585631408.7719223
100,6.632036447525024,6.535496473312378,1585631408.805177,1585631408.8754628,1585631415.4372134,1585631415.4109592
100,6.634235382080078,6.517340421676636,1585631415.448481,1585631415.5422008,1585631422.0827165,1585631422.0595412
100,6.671555042266846,6.492484092712402,1585631422.0932653,1585631422.1774461,1585631428.7648203,1585631428.6699302
