matrix size,elapsed time harness, elapsed time function, start harness, start function, end harness, end function
10000,0.8276631832122803,2.6226043701171875e-06,1587939388.9264674,1587939389.722001,1587939389.7541306,1587939389.7220037
10000,0.311748743057251,3.0994415283203125e-06,1587939389.7569249,1587939390.032184,1587939390.0686736,1587939390.032187
10000,0.40266966819763184,3.337860107421875e-06,1587939390.0713038,1587939390.4447224,1587939390.4739735,1587939390.4447258
10000,0.273205041885376,3.0994415283203125e-06,1587939390.4765804,1587939390.7156672,1587939390.7497854,1587939390.7156703
10000,0.4170048236846924,3.0994415283203125e-06,1587939390.7534435,1587939391.1320992,1587939391.1704483,1587939391.1321023
20000,0.41422367095947266,3.337860107421875e-06,1587939391.1754048,1587939391.545567,1587939391.5896285,1587939391.5455704
20000,0.4792444705963135,4.291534423828125e-06,1587939391.594889,1587939392.034879,1587939392.0741334,1587939392.0348833
20000,0.42469120025634766,4.0531158447265625e-06,1587939392.0790863,1587939392.4695537,1587939392.5037775,1587939392.4695578
20000,0.41688108444213867,3.814697265625e-06,1587939392.5086951,1587939392.8948426,1587939392.9255762,1587939392.8948464
20000,0.3933737277984619,4.291534423828125e-06,1587939392.930738,1587939393.286597,1587939393.3241117,1587939393.2866013
30000,0.4685060977935791,4.5299530029296875e-06,1587939393.3317559,1587939393.7649415,1587939393.800262,1587939393.764946
30000,0.4062058925628662,3.814697265625e-06,1587939393.807476,1587939394.1821606,1587939394.213682,1587939394.1821644
30000,0.5003471374511719,3.814697265625e-06,1587939394.2210557,1587939394.6355011,1587939394.721403,1587939394.635505
30000,0.39737629890441895,5.245208740234375e-06,1587939394.7289298,1587939395.0902517,1587939395.126306,1587939395.090257
30000,0.4794483184814453,4.5299530029296875e-06,1587939395.1336706,1587939395.5741634,1587939395.613119,1587939395.574168
40000,0.531104326248169,3.814697265625e-06,1587939395.6227396,1587939396.1215105,1587939396.1538439,1587939396.1215143
40000,0.5256509780883789,3.337860107421875e-06,1587939396.1633127,1587939396.6596735,1587939396.6889637,1587939396.6596768
40000,0.5824658870697021,3.814697265625e-06,1587939396.6995468,1587939397.2479055,1587939397.2820127,1587939397.2479093
40000,0.5669190883636475,3.814697265625e-06,1587939397.291705,1587939397.8248057,1587939397.858624,1587939397.8248096
40000,0.6227583885192871,3.5762786865234375e-06,1587939397.8679903,1587939398.459198,1587939398.4907486,1587939398.4592016
50000,0.6382641792297363,3.814697265625e-06,1587939398.5028203,1587939399.1067612,1587939399.1410844,1587939399.106765
50000,0.5695469379425049,4.0531158447265625e-06,1587939399.1540282,1587939399.6825154,1587939399.723575,1587939399.6825194
50000,0.6597437858581543,4.291534423828125e-06,1587939399.7352169,1587939400.3558133,1587939400.3949606,1587939400.3558176
50000,0.5882163047790527,4.0531158447265625e-06,1587939400.4069796,1587939400.962114,1587939400.9951959,1587939400.9621181
50000,0.7721490859985352,4.76837158203125e-06,1587939401.008054,1587939401.633256,1587939401.780203,1587939401.6332607
60000,0.7003357410430908,3.5762786865234375e-06,1587939401.7983773,1587939402.467215,1587939402.498713,1587939402.4672186
60000,0.7479581832885742,3.337860107421875e-06,1587939402.5126827,1587939403.2002077,1587939403.2606409,1587939403.200211
60000,0.6144068241119385,3.337860107421875e-06,1587939403.274393,1587939403.8570893,1587939403.8888,1587939403.8570926
60000,0.6696052551269531,4.291534423828125e-06,1587939403.9030156,1587939404.5387313,1587939404.5726209,1587939404.5387356
60000,0.6372487545013428,3.814697265625e-06,1587939404.5864604,1587939405.16196,1587939405.223709,1587939405.1619637
70000,0.8429648876190186,3.337860107421875e-06,1587939405.2401595,1587939406.0435264,1587939406.0831244,1587939406.0435297
70000,0.7855260372161865,3.337860107421875e-06,1587939406.1003468,1587939406.8526883,1587939406.8858728,1587939406.8526917
70000,0.8365755081176758,3.5762786865234375e-06,1587939406.902047,1587939407.7083597,1587939407.7386224,1587939407.7083633
70000,0.7806694507598877,3.337860107421875e-06,1587939407.7550044,1587939408.499846,1587939408.5356739,1587939408.4998493
70000,0.8981211185455322,4.291534423828125e-06,1587939408.5528214,1587939409.4127905,1587939409.4509425,1587939409.4127948
80000,0.7933018207550049,5.0067901611328125e-06,1587939409.470237,1587939410.2353663,1587939410.2635388,1587939410.2353714
80000,0.8478655815124512,4.291534423828125e-06,1587939410.2853618,1587939411.0805986,1587939411.1332273,1587939411.080603
80000,0.7466750144958496,4.0531158447265625e-06,1587939411.1522934,1587939411.8694487,1587939411.8989685,1587939411.8694527
80000,0.7437584400177002,5.53131103515625e-05,1587939411.9175322,1587939412.62781,1587939412.6612906,1587939412.6278653
80000,0.9682080745697021,3.337860107421875e-06,1587939412.6795552,1587939413.5704079,1587939413.6477633,1587939413.5704112
90000,0.9283716678619385,4.0531158447265625e-06,1587939413.6692672,1587939414.5626132,1587939414.5976388,1587939414.5626173
90000,0.948610782623291,3.337860107421875e-06,1587939414.6178257,1587939415.5352712,1587939415.5664365,1587939415.5352745
90000,1.1191339492797852,3.337860107421875e-06,1587939415.5867026,1587939416.6689126,1587939416.7058365,1587939416.668916
90000,0.9162375926971436,4.0531158447265625e-06,1587939416.7280924,1587939417.6171448,1587939417.64433,1587939417.6171489
90000,0.8218989372253418,3.814697265625e-06,1587939417.664956,1587939418.442197,1587939418.486855,1587939418.442201

